thread_id	domain	type	source	request
229157118	movie	jdoc-annotated	imdb	Movie about an Irish woman who takes up with two brothers. SOLVED. I saw it in the 90s, and if I remember correctly it takes place in the late 1800s/early 1900s. Could be wrong about that. A young woman goes to live on a farm with two brothers, and, rather than choosing one to marry, she becomes involved with both. Any help would be appreciated! ~~~~~~~~~~~~~~~~ Why Richard, it profits a man nothing to give his soul for the whole world... but for Wales?
226790919	movie	jdoc-annotated	imdb	Loudmouthed, big-talking punk is whacked in front seat of car...SOLVED. He's barely out of his teens, and is talking trash. He's sitting in the front seat of a big American car that's inside a large warehouse. The two other guys in the car are much older than he is. The guy in the backseat finally has enough of this kid's noise. He pulls a large automatic and splatters the kid's brains all over the windshield....and the guy in the driver's seat. Then the hit man gets out of the car and walks away, toward the overhead door. I really should know what film this is from, but I can't remember, and it's driving me nuts. Is it L.A. Confidential, or what? HONK if you love Jesus... TXT if you want to meet Him...
226888142	movie	jdoc-annotated	imdb	Movie title - Asian cyborg movie. Hi, as a child I watched a movie, with cyborgs. The main character was a police officer and a women, which was turned into a cyborg, I think. They fight a more brutish cyborg/robot who could shot his fists as projectiles. The movie looked very much like a typical 80'S movie. Unfortunately I can't remember much more about it, other that I really liked it. Does anyone has a clue what that movie was called? Thanks in advance.
226157396	movie	jdoc-annotated	imdb	Movie tittle. John travolta is the star and he has a shaved head and a goatee?
227881937	movie	jdoc-annotated	imdb	Pictures : what movie ?. Hello, Here are pictures from the same movie : http://www.pix-host.com/allimages/30424575.jpg I'm looking for the movie. Do you have an idea ? Thank you !
227047340	movie	jdoc-annotated	imdb	Movie about searching the holy grail SOLVED. No,it`s not ""Monty Python and the holy grail"". That one was no comedy for sure. It was made like mystery. Sir Galahad was walking in some creepy forest. Suddenly he saw a beatiful woman,she smiled at him and maybe said something like ""Come to my place to see my son"". Then a boy appear with a big golden mask on his face. Maybe that scene was near a lake,but I`m not sure. I was watching just these few scenes. Please help with the title!
225359993	movie	jdoc-annotated	imdb	80's ninja/martial arts movie (SOLVED). I can only remember: 1) Someone ends up mutilated in a bathtub. 1) The villain was an old Italian mafioso complete with hat and suit. One line he said has stuck with me: ""What the sh-t is this?"" That's all I remember. All this time I thought it was American Ninja but it's not. Good luck to me. George Carlin: It's all bullsh-t and it's bad for ya.
227460201	movie	jdoc-annotated	imdb	Film: A man waking up on a repeating day with his hand on bedside lamp. Hello guys, This is a movie I've seen as a little kid and remembered it these days. It is similar to groundhog day with a repeating day but the main character is waking up every morning in a hotel/motel/cabin with his hand on the bedside lamp. Can anyone help me with the title please? Many thanks in advance. Regards, Teo
226562166	movie	jdoc-annotated	imdb	Forgotten movie title, help!. Trying to remember title of movie, watched around a year ago on lovefilm. It's a fairly strange guys comedy. Its about 2 men discovering either a arcade/gyspy type machine that teleports them into a world full of female models etc, the opening scene features them getting chased and put into jail by two female officers, they then spend the rest of the time trying to escape from the place and get back into the real world, this is about all I can remember of it, if anyone can identify it please reply!
226553125	movie	jdoc-annotated	imdb	Uses the Spa Complex South Bay Scarborough (UK). There is a part in this film which uses the bandstand at the Spa Complex in Scarborough UK This is a picture http://www.alamy.com/thumbs/6/%7BD3584EF5-EB63-4E89-8C95-3626B69E9C87%7D/A7GATD.jpg I'm sure the person (man) is on his stag night and gets put on a train He ends up in Scarborough and (i think) meets a young woman It is from the 1980s and is a bit 'arty' I wonder what the film is Thanks James
226362459	movie	jdoc-annotated	imdb	SOLVED. 90's or early 2000's thriller/suspense movie. Hello all, I am hoping someone here can help me remember the title of a movie that I watched back in the late 90's or early 2000's. I may have asked this here before and gotten the answer but I seemed to have note written it down or e-mailed it to myself so I apologize in advance if that is the case. Either way though I would really like to know which movie this is. Also I apologize in advance for the length of the post but I wanted to give as many details as I can remember to hopefully make it easier for someone to ID this movie. Okay, enough pre-lim this is what I remember of the film: Pretty sure I watched it in the late 90's, late at night on a cable station. Perhaps Cinemax or Showtime but I cannot say for certain which station. I know it had to be the late 90's and I am pretty sure it was late at night because it had the feel of one of those ""almost"" a soft core movie feels to it. It starts off in a doctor's office. There is a woman getting examined there but you know something is not right because the lighting is kinda dark and ""spooky"" and also the music as I recall is a bit ominous/suspenseful. Anyway, the male doctor molests/rapes the woman and then I believe kills her because she ""wakes up"" as he is doing it. The scene then shifts to the woman's sister, who might be a cop or more likely a reporter. The sister then decides to go undercover and find out what is happening at this clinic because she does not feel her sister's death was an accident, etc. The whole clinic has this weird cult like vibe to it and the lighting as I recall really helps portray this feeling of tension. There might be one of those ""experimental"" treatment angles going on with the clinic too which is why the regular cops don't want to get involved. I feel like the doctor either drugged or hypnotized the victims so they would not wake up or remember what happened to them. Somehow or another there is also a man involved in investigating the clinic. I cannot remember if he is the dead woman or the sister's boyfriend or just a cop but I know he gets involved and helps the sister get out and expose the doctor and his nurse (who I think is his wife or something who helps him molest these woman who come into the clinic). The man also ends up falling in love with the sister as I recall as well (shocking I know). There was just this over all kinda creepy vibe to the movie with this underlying sexual tension that makes it stick in my mind. Any help at all would be greatly appreciated. Captain Campion I let the half of me that feels crazy speak for the half of me that feels alone --- John Engman
226871528	movie	jdoc-annotated	imdb	needs to find out who's poisoned him- SOLVED. So this one might be trickier because it's not actually a movie I've seen. My Dad was talking about it, but he didn't know the title. So even if someone knows it, I won't necessarily have a burst of recognition, because I haven't seen it in the first place. Here's a summary of my Dad's description: This writing student wrote his first novel. He's feeling sick and goes to the doctor. The doctor says he's been poisoned and has 24 hours to live. It turns out his professor poisoned him because he read the book and wanted to plagirize it as his own. Thanks!
229164413	movie	jdoc-annotated	imdb	Movie title? -=SOLVED=-. Hello! I was wondering the title of a movie that was black and white, possibly from the 60s (could be from 50s or 70s as well) about a thief man and a thief girl. I believe the poster was with moon and they were sitting on it. Its a famous movie and i just cant remember the title...
225957162	movie	jdoc-annotated	imdb	I can't remember a horror movie which I watched a way back in the day. I remember a scene 1.a guy who loses his girlfriend when they are traveling on a bike.once girl dies the guy brings her body to his dad's lab to resurrect her.after she getting her life she started to eat human flesh..she eats everyone who she meets even her family.but she never eats her bf. 2.the guy's dad is a researcher of ghosts that's all I can remember now Please help me out with this
229163910	movie	jdoc-annotated	imdb	Tip of my tongue movie, 'Last of...(something something)' (SOLVED). There's a movie called ""The last of....{mumble, mumble}"". There's a photo of characters standing at the stern of a boat, and there's some connection between what happened to the characters and the name of the boat, like the boat was ""Linda"" and the character beneath the L was Lynched, the character beneath the I was Incinerated, etc... I believe they were all murdered, and someone figures out it's the last person in the lineup who did it - hence ""The Last of..."" whatever. I thought it had Ian McShane in it, but I can't find a reference for it under his filmography. Ugh, driving me mad that I almost have this! Colour, 80s, US, I think. Thanks in advance!
229351254	movie	jdoc-annotated	imdb	DVD in Sainsbury's Sheen. Hi I've just been to Sainsbury's and saw 2 films for sale that I hadn't heard of. One was Big Bad Wolves but I can't remember the other one. It was the Sainsbury's in Sheen, London. I want to know the title so I can check it out before I buy it. Sorry this is vague :) I think it was a thriller and the cover was mostly blue. I don't know who is in it but I think someone famous - lol yes I know. It was on the third or fourth shelf down in the middle!
200505171	movie	jdoc-annotated	imdb	Here are two tough ones, I'm afraid. (One solved, one still unsolved). 1: I made a thread about this one some years ago (some regulars might even still remember it), but despite that I kept bumping it for months, it never really got solved (some suggestions looked promissing, but I was unable to find out for sure), so I think I'll give it another try. Either way, it was a movie (or a TV series) about a boy, who lived in a palace, because his father was a trusted employee of a king. Both the boy and his father wore wigs, so I guess it was the 18th century? I only remember one scene, where the father tells the boy: ""I have two masters: God and the king. But you have three masters: God, the king and me."" I don't know exactly how long ago it was, that I saw this movie (or mini series), but it was several years ago. In fact, I think it must have been in the 1990s. It's not: * ""Amadeus"" * ""The madness of king George"" * ""Little Lord Fauntleroy"" * ""The prince and the pauper"" * ""Longitudes"" * ""Immortal beloved"" * ""The whipping boy"" It could be (even though I doubt it): * ""Farinelli"" * ""A clandestine marriage"". 2: I'm also taking the opportunity to search for a song, that must have come out in 2000 or 2001. In the music video, the singer (a blonde girl) sang while standing up in a small boat. I believe the lyrics might have contained the words ""a love without compare"". It's not: * ""The constant"" by I blame Coco * ""Lovefool"" by the Cardigans It is: * ""Every time you need me"" by Fragma Intelligence and purity.
226372057	movie	jdoc-annotated	imdb	Looking for 2 movies with almost scenes are on the sea. I looking for 2 movies: 1. five (or seven) people jump off a ship without remember attach ladders. No one can climb up the ship and they die one by one. 2. the same story as above, a couple abandoned at see after a diving tour. Film ending with no one lives. Thanks
229090279	movie	jdoc-annotated	imdb	bob hoskins. SOLVED !!!!! Mr. Hoskins played an innocent bystander that got mixed up with gangsters in england that involved an ice cream truck named mr bunny i think. what was the name of that film? COMFORT AND JOY
228974093	movie	jdoc-annotated	imdb	'I Can't Stop Loving You' plays at or near the end.. The Ray Charles version, I think. If I remember correctly, it plays just as someone is dying (probably getting killed) or at his/her funeral. It's hazy and there's a chance it's actually a mix-up of my memories, but just in case it isn't, I have to ask. I know I'm not talking about the movie Ray with Jamie Foxx because I never saw that film.
225842687	movie	jdoc-annotated	imdb	peter cushing. The name of a Frankenstein movie where there is a mute girl who is kind to the Baron and a hypnotist who takes control of the monster - thanks
230044248	movie	jdoc-annotated	imdb	Older actress in a film noir... (Solved). I'm trying to figure out who this older actress is in a 1940s movie....the lead actor goes to her apartment and offers her beer (to get information)....talks to her for awhile and then later she for some reason is asked to meet someone in an isolated place and is murdered. She's probably 60+ in this movie and was not aging well. But a very interesting character actress. Anybody? P.S. I can't remember the name of the movie (obviously), but it may have been one of the Thin Man movies...definitely something simiiar.
229913063	movie	jdoc-annotated	imdb	What's this movie's title? -Solved. This is probably a '70's or 80's movie. It is about an android or cyborg that is with a group of people and is killing them one by one. The group is trying to figure out which one of them is the android. One of the women is killed in the shower and another person gets sick or swells up after doing a blood test on everyone to weed out the android. The movie ends when a large mech is used to kill the android. Thanks!
230448884	movie	jdoc-annotated	imdb	Searching for two movies. Hey, guys & gals, I was hoping you could help me out. I am searching for two movies I watched a couple of years ago and I can't remember their names. 1. I remember that the first movie was about 2 girls (which had kind of ""boy"" names if I can put it that way) who were ballet dancers or ice skaters (I'm not quite sure :D); 2. The second movie involved time-travelling, I think there were girls involved again and the way they travelled was via a ""magic"" elevator and they chose the year they would travel to by pressing the numbers in the elevator. Sorry for the brief descriptions (that's all I can remember), but if anybody has a clue - please respond :).
225642006	movie	jdoc-annotated	imdb	Please Help me find the title of this movie!! Solved! Thanks star-core:). In the beginning the mom is doing her welding art in the garage, dad comes home and goes and finds son(who is hiding under the blankets) These men come and shoot the dad and he lands on the bed beside the son. The dad had given the son a part(which he put on his robot, transformer toy) Thats what these bad guys were after. The mom and son then go hide out in woods/mountains at a male friends cabin. He helps keep them safe, mom had no clue where the piece is until the son shows her it at the cabin.
229360532	movie	jdoc-annotated	imdb	Help. From which movie is this picture from? [solved]. http://i.imgur.com/xWI4Q2Q.png
229445872	movie	jdoc-annotated	imdb	HELP with this movie. It's an easy one. It's an easy one but i can't remember it's name! The cover had an old man with white beard and at the background a 10 year old kid more or less and an adolescent girl. I think they were brother and sister in the film. I don't remember if they were orphans or what but they crossed paths somehow with this old man (i think he was their uncle. Can't remember if they knew him if not) and strange things start to happen and stuff (magical stuff). I think it was from Disney. It's not a cartoon. The film is from 2003, 2005, 2006 Thanks for the help
227053912	movie	jdoc-annotated	imdb	Movie/TV Episode 'pre-apocalyptic' last Earth day? SOLVED!!!!. The last pre-apocalyptic night. The Earth is about to be destroyed by increased Solar activity. One man loved one woman and decided to tell her about his feelings. The jewelry store was closed; he broked in and stole an engagement ring and put the engagement ring on her finger. They stayed together for that last night on the second floor at the house... happy end!... it was just a flood!
226366875	movie	jdoc-annotated	imdb	SOLVED. Girl suspecting her farther of killing her best friend. SOLVED. Hi guys, im looking for the title of a film about a girl suspecting her father of killing her best friend when they ware little. This are the things i can remember from the movie : - 2 young girls best friends one blonde the other brunette - at one point of the movie the blond girls dies and the brunette girls suspects her father of killing her best friend the the woods - the brunette girl was abused by her father - when she grew up she owned a store, that at some point her father came and thresed it up - at the end we fond out that the father was not the killer but you older boy the girls used to talk to. I hope you can help me out, im looking for this movie for along time. Thx
228219839	movie	jdoc-annotated	imdb	horror movie with vincent price solved. I saw it on Elviras movie macabre when I was a kid. 3 stories, one was about a town of people who eat food they get from ""boxes"" (coffins) Cant quite remember the other 2 stories but I'm 99% sure price was in one of them. There is a scene where a stripper is taking off her clothes, it becomes a cartoon where she ends up peeling off her skin... What a crazy nation of socialist republics that are together in a federation, of craziness
227999905	movie	jdoc-annotated	imdb	Can you name this 80's Horror film? SOLVED. In a farming community there is a strange invisible infection that clings to surfaces and is killing people. The locals use CATS to test the walls of buildings to see if they are infected. If the walls are infected the walls sort of absorb the cats! Sorry, that's about all I can remember. Anyone know what film I'm talking about?
228382352	movie	jdoc-annotated	imdb	Kids Sing Along. I remember when I was a kid, I would watch this movie (or tv shkw, not sure) over and over. It starts out with kids making breakfast, and then the only things I remember are them singing ""Do Your Ears Hang Low"" to an elephant, running aroumd singing John Jacob Jingleheimer Schmidt, and ""Skip to My Lou"". I know there are more songs, just can't remember anything else. Sound familiar to anybody?
225553062	movie	jdoc-annotated	imdb	[SOLVED] TV movie about paralyzed man. As I recall, John Ritter was in a movie that was based on a true story. It was about a man--I think he was a rodeo rider--who fell, then GOT UP and walked off, then shortly AFTERWARD lost use of his legs. When I saw ""Leave Yesterday Behind"" in John Ritter's filmography, I thought I'd found it...but its details don't match my memory. It's about a polo player who's injured, paralyzed, but doesn't mention that immediately after the accident he got up and walked. Any ideas? -- http://www.CaliforniaDreamsPhotography.com
227823289	movie	jdoc-annotated	imdb	Name of Australian film about man with cancer, from 2000's. It was a drama/romance and had some animation segments showing the character's thoughts/dreams. Man has cancer and falls in love with lady who I think was a painter. From Mid 2000's I think.
228671106	movie	jdoc-annotated	imdb	early 80s sci-fi movie (SOLVED). I vaguely remember a movie that was on cable around 1984. It was set in space, and I think there were aliens who had green blood...There is a scene in which one of the aliens is chasing a kid through a spaceship, and the kid manages to escape by crawling through a space that's too small or too low for the alien to follow. NOTE: It wasn't ""Alien"" or Aliens."" Thank you in advance!
228648863	movie	jdoc-annotated	imdb	cant remember the title...(solved). its about a young fighter, who for some reason cant fight for the hometown-team(dont remember why). He keeps training, though... At the end he is in the crowd watching the hometown team fighting. The visitors have a very good fighter, who kicks everybodys ass. It seems nobody can beat this guy, then our protagonist goes directly from the crowd in the ring... ????? english isnt my first language
226880843	movie	jdoc-annotated	imdb	[Solved]Female warrior movies. I'm looking for two 80's / 90's female warrior movies. [Solved]1: The main actress is suspended by her wrists by either ropes or chains, she managed to escape by stretching her arms that made her roll over so she could use her feet on the ceiling to get lose (or something). [Nevermind]2: I believe this is a sci-fi movie, I remember seeing this text: ""Los Angeles 2050"", or at least anywhere near that year. A female warrior is in a desert near that city.
227572056	movie	jdoc-annotated	imdb	80's-early 90's movie about a weird creature withgiant teeth that smiled. I remember the opening had a bunch of ""chattering"" fake teeth at the beginning. Any ideas?
228632884	movie	jdoc-annotated	imdb	in which film the ex-boyfriend hangs the dog covered in red paint SOLVED. the film begins with the boyfriend chasing a girl through the subway train, as far as i remember... then goes to her apartment and paints the dog red then hangs it... but doesn't kill it, thank god... the girl gets home and is freaked out when she sees the dog...
230042443	movie	jdoc-annotated	imdb	help finding the title of a movie (SOLVED byKingstonGraves + Hutch 48-2). There was a film that I watched when I was younger but I can only remember it vaguely, it was a rather old movie so not anything recent. I remember that the nursery rhyme Oranges and Lemons was used in it, and I remember a clock that kept striking. It was in a big house and there were a group of people, I think it may have been a mystery kind of film. Sorry there isn't much to go on but that's all I really remember, I'd just really like to know the name of the film so I can watch it again. Thankyou :)
228063224	movie	jdoc-annotated	imdb	Film with flying 'out of closet' beast. Does anybody know the name of the old science fiction film where there is an alien who has come to earth who looks human, and he unleashes some kind of weapon or perhaps animal that comes out of a closet and envelopes the head of the person he's trying to defeat? The alien looks vaguely like Broderick Crawford, if I remember right. At one point he's chasing someone in a car, and he somehow sends the message ""you can't get away from me,"" or something similar. I saw it only once, around the 60's or early 70's, and it was pretty memorable, so I'd love to know what the name of it was. ""Extremism in the pursuit of moderation is no vice.""
230033634	movie	jdoc-annotated	imdb	I cannot remember the movies name.... the movie is like a kids movie where two or one boy gets to encounter aliens, the typical green anteenas and wierd looking aliens, I know that they have like a Command Module - something like this http://upload.wikimedia.org/wikipedia/commons/d/dc/Apollo_14_CM_Saturn_V_Centre.JPG
227037584	movie	jdoc-annotated	imdb	What movie is this??? Solved,. From what I've seen of the movie its kinda like Second Life, but people control real people in the game. The people that are being controlled in the game, that is their job, and the game world is very colourful. This really fat ugly guy is actually controlling a hot girl in the game who gets rescued by what i think is her boyfriend/husband guy who breaks into the game world. Hopefully one of you guys know what the heck im talking about Thanks so much!
225883415	movie	jdoc-annotated	imdb	Erotic film, some incest - SOLVED. There's not much to go on here I'm afraid but I'm trying to find the name of an erotic film which i think is about a young (early 20s ish) couple who are very sexually experimental. At the end of the film they join the girl's brother in a threesome. There might have been tents involved somewhere (tents set up in the living room?), I think their parents were rich with a big house and may have been away when the incest bit happened. They were privileged kids basically. I think they were British but I might be wrong. There might have been a bit where he shaves her, but I might be mixing that bit up with another film, and if I am I'd quite like to know what that film is too please! Many thanks. I am ANYTHING but a pugnacious upstart
228817845	movie	jdoc-annotated	imdb	Recent high school drama about suicide... ***SOLVED (Quickly)***. I saw this title at Walmart and remember only a little bit from the back description: A high school boy tells everyone that he is going to commit suicide at the end of the semester or something like that. I don't think it has any stars in it. Is that enough info? Doesn't it give you a headache asking stupid questions? Pepe Le Moko
228439957	movie	jdoc-annotated	imdb	Re: UK comedy about a woman who works as a cook for rich ladies SOLVED. My sister, duly impressed by this board, is trying to find out the title of a UK comedy about a girl who got pregnant at 18 at a Venice carnival. Her parents had died in a car crash and she lived with her grandparents who wanted her to get an abortion. She ran away or was kicked out and 10 years or so later is living with her son and is employed as a cook for some rich ladies and is very good at it. Also she sleeps with men for extra cash and her kid goes to a private school. That is all she could remember - except that she believes there was a ""peacock"" in the title but she was never able to find it to confirm that. And it is from the 90-ies.
226561632	movie	jdoc-annotated	imdb	Name This Movie. Trying to remember the title of a movie whose trailer I watched within the last few years. It was about a lonely woman in LA (struggling actress I think) who decided to move back home, but on her last night in town she realizes she was being stalked. I think it is about the guy ambushing her goodbye party with her friends at her house. Anyone remember this one?
229407961	movie	jdoc-annotated	imdb	Can you tell me the name of this probably weed-related movie? - Solved. This is a tough one for me. If you know the name of the movie or of the actors, please let me know! Check this pic here: http://i.imgur.com/oJVbTCf.png Cheers!
226756640	movie	jdoc-annotated	imdb	Movie about two brothers - S S S S Solved!. The main character is a brother who is released from prison after serving time for a crime his brother committed when they were teenagers. He has a slight disability because he hit his head pretty bad when he fell from a tree when was a kid. He comes heads back to town, and makes a job for himself as a handyman or a painter. His brother is still a criminal and I don't remember much in between, but there is a stand off between the bad brother and the cops. In the middle of the stand off is the good brother and the bad brother's girlfiend/wife. The bad brother then commits suicide by cop. The final scene ends with the good brother getting on a bus and leaving town. I think this was a made for tv movie. The brothers are white. The movie might have been made between 2009 - 1999. Pls assist.
229204846	movie	jdoc-annotated	imdb	Movie Where Someone is Killed by Cards. I remember watching this movie when I was younger. It probably came out in the late 90's or early 2000's. I feel like it may have been a syfy channel movie. The only scene I remember is there is this person who gets killed by playing cards. They maybe taret cards but I am not sure. And I feel like it happened on a bridge. And there maybe someone who figures it out that its going to happen and they try to hurry and save them but it is too late. The movie might have something to do with demons or curses or something like that but again I am not sure. If any of this rings a bell please let me know. Thanks!!
227493014	movie	jdoc-annotated	imdb	romantic -comedy , name ? SOLVED. so , this movie is about 3 sisters . one of them was in italy and she comes back with broken leg (i think ?) , other 2 sisters are at home and they are working in family firm . and one part i dont remember , but at first on of the sisters is engaged and after her other two got engaged . sister from italy is engaged with some italian guy . and the youngest is getting married with a friend who works in their firm , and they have known each other since they were kids. and at the end they got tripple wedding at the same day and everything was going bad , and the end of the movie is when 3 sisters give their parent a trip over europe because they wanted to travel but they never really could ... i hope you can help me :)
228641151	movie	jdoc-annotated	imdb	i need to know this movie name. Two men live at home, everything slowly disappearing around them until they are left alone. All white all around, at the end of the movie they disappear as well. The film is before 2000 And may contain the words: Disappear Until everything is gone tnxxxxx
229148290	movie	jdoc-annotated	imdb	Name of Movie. All of these details are hazy. I saw this movie in the previews. I think it is about young girls in some kind of Catholic School. It is a thriller/drama, maybe? The main character is a woman with dark brown/black hair. It is set in the past but the movie can't be more than 10 years old. I am fairly certain the movie starts with a C. And is only one word. Like Crash or Class. Is this ringing any bells? HELP! thanks for all replies.
